t,w,x,y,z,ax,ay,az
16,0.9948,-0.0971,-0.0125,0.0286,0.0411,-0.2405,1.0065
16,0.9949,-0.0958,-0.0116,0.0273,0.0337,-0.2328,0.9773
15,0.995,-0.0955,-0.0105,0.0264,0.0049,-0.2284,0.9662
16,0.995,-0.0956,-0.012,0.026,0.0226,-0.222,0.9791
15,0.9949,-0.0958,-0.0139,0.0252,0.046,-0.2205,0.9933
16,0.995,-0.0958,-0.0134,0.0245,0.0393,-0.2245,0.984
15,0.995,-0.0959,-0.0132,0.0243,0.0171,-0.2378,0.9795
16,0.9948,-0.0981,-0.0131,0.0244,0.0068,-0.2404,0.9752
15,0.9945,-0.1008,-0.0114,0.0243,-0.0034,-0.2401,0.964
17,0.9944,-0.1021,-0.011,0.0248,-0.0137,-0.248,0.9592
15,0.9942,-0.1032,-0.0119,0.0257,-0.0132,-0.2534,0.9659
17,0.9938,-0.1068,-0.0134,0.0264,-0.0146,-0.2557,0.9607
15,0.9933,-0.1114,-0.0148,0.0268,-0.0116,-0.2585,0.9625
16,0.9929,-0.1147,-0.016,0.0269,-0.0111,-0.2689,0.9894
15,0.9928,-0.1154,-0.0156,0.027,-0.0092,-0.2841,1.0115
15,0.993,-0.1136,-0.0139,0.0274,-0.0087,-0.2946,1.0132
16,0.9933,-0.1108,-0.0115,0.0281,-0.005,-0.2971,0.9977
15,0.9938,-0.1071,-0.0104,0.0287,0.0029,-0.301,0.99
16,0.9942,-0.1028,-0.0097,0.0291,-0.0002,-0.3015,0.9836
15,0.9946,-0.0992,-0.008,0.0295,-0.0103,-0.2971,0.9695
16,0.9948,-0.0973,-0.0061,0.03,-0.0034,-0.29,0.9663
15,0.9948,-0.0966,-0.0045,0.03,-0.0042,-0.2825,0.9869
17,0.9948,-0.0968,-0.0024,0.0299,-0.0333,-0.2786,1.0126
15,0.9948,-0.0973,-0.0004,0.0302,-0.0466,-0.2698,1.0316
17,0.9948,-0.097,0.0013,0.03,-0.0187,-0.254,1.0376
15,0.9949,-0.0959,0.0048,0.0285,-0.0031,-0.2501,0.9995
17,0.9951,-0.0948,0.0073,0.0267,-0.0148,-0.2555,0.9521
15,0.9951,-0.0946,0.0073,0.0257,-0.0402,-0.2686,0.9761
16,0.9952,-0.0939,0.0076,0.0257,-0.0457,-0.2755,1.049
15,0.9954,-0.0907,0.009,0.0268,-0.0291,-0.269,1.0709
15,0.9958,-0.0855,0.0109,0.0286,-0.0085,-0.2656,1.0303
15,0.9962,-0.0804,0.0123,0.0308,-0.0018,-0.2604,0.9835
15,0.9963,-0.0775,0.0145,0.033,-0.0464,-0.2433,0.9568
16,0.9962,-0.0769,0.0178,0.0352,-0.0487,-0.2103,0.9597
15,0.9962,-0.0753,0.0219,0.0367,-0.0292,-0.1893,0.9801
17,0.9965,-0.0702,0.0236,0.0388,-0.0287,-0.1832,1.0063
15,0.9968,-0.0637,0.0247,0.0414,-0.0739,-0.1471,0.978
17,0.9968,-0.0605,0.0273,0.0444,-0.0876,-0.0922,0.9309
15,0.9967,-0.0592,0.03,0.046,-0.0448,-0.0583,0.9294
17,0.9968,-0.0568,0.0314,0.0462,-0.0243,-0.0364,0.921
15,0.997,-0.0546,0.0297,0.0455,-0.0214,-0.0421,0.9353
17,0.9973,-0.052,0.0272,0.044,-0.0262,-0.0453,0.963
15,0.9975,-0.0498,0.0253,0.0426,-0.016,-0.0258,0.9692
16,0.9977,-0.0477,0.0231,0.0423,0.0015,-0.0005,0.9778
15,0.9977,-0.0458,0.0224,0.0427,-0.0122,0.0092,0.9899
15,0.9979,-0.0433,0.0221,0.0433,-0.0249,0.0042,1.0028
15,0.998,-0.0396,0.0203,0.0432,-0.0321,-0.0009,1.0013
15,0.9983,-0.0359,0.0182,0.0422,-0.0386,-0.0028,0.9901
16,0.9984,-0.033,0.0161,0.0413,-0.0275,-0.0005,0.985
15,0.9985,-0.031,0.0149,0.0408,-0.0211,0.0081,0.9968
17,0.9986,-0.0302,0.0161,0.0401,-0.0262,0.0066,0.9994
15,0.9986,-0.0297,0.0175,0.0391,-0.0334,0.002,0.9839
17,0.9987,-0.0295,0.0173,0.0381,-0.042,0.0004,0.9546
15,0.9987,-0.0306,0.0167,0.0372,-0.0562,-0.0087,0.9395
17,0.9987,-0.0323,0.0168,0.0361,-0.0608,-0.0197,0.9513
15,0.9987,-0.0331,0.0162,0.0353,-0.0398,-0.0126,0.972
16,0.9987,-0.0332,0.0146,0.0349,-0.0129,0.0001,0.9912
15,0.9988,-0.0328,0.0148,0.0337,-0.0142,0.0016,0.9938
16,0.9988,-0.0317,0.0154,0.0324,-0.0336,-0.0107,0.9872
15,0.9989,-0.0303,0.0154,0.031,-0.0385,-0.0193,0.9811
15,0.999,-0.0295,0.0156,0.0298,-0.0353,-0.0183,0.9802
15,0.999,-0.03,0.0159,0.0291,-0.0269,-0.0193,1.0026
15,0.999,-0.0308,0.0162,0.0292,-0.0239,-0.0315,1.0215
16,0.9989,-0.0312,0.015,0.0297,-0.0313,-0.048,1.024
15,0.999,-0.0306,0.0134,0.0306,-0.0498,-0.0562,1.0194
17,0.999,-0.0298,0.0135,0.0316,-0.0652,-0.0575,1.01
15,0.9989,-0.029,0.0146,0.0322,-0.0576,-0.0568,0.9982
17,0.999,-0.0275,0.0156,0.0327,-0.0417,-0.0424,0.9921
