t,w,x,y,z,ax,ay,az
23:39:54.664896,0.96,-0.0,-0.01,-0.29,-0.15,0.55,0.93
23:39:54.678896,0.96,-0.0,-0.01,-0.29,-0.15,0.53,0.92
23:39:54.695896,0.96,-0.0,-0.01,-0.28,-0.13,0.53,0.92
23:39:54.698896,0.96,-0.01,-0.01,-0.28,-0.11,0.53,0.93
23:39:54.713144,0.96,-0.01,-0.01,-0.27,-0.09,0.54,0.93
23:39:54.715143,0.96,-0.01,-0.01,-0.27,-0.08,0.55,0.93
23:39:54.729150,0.96,-0.01,-0.02,-0.27,-0.08,0.56,0.93
23:39:54.746150,0.96,-0.01,-0.02,-0.26,-0.07,0.57,0.93
23:39:54.748151,0.97,-0.01,-0.02,-0.26,-0.08,0.59,0.93
23:39:54.762151,0.97,-0.01,-0.02,-0.26,-0.1,0.59,0.92
23:39:54.765151,0.97,-0.01,-0.02,-0.25,-0.12,0.58,0.91
23:39:54.779150,0.97,-0.0,-0.02,-0.25,-0.12,0.55,0.9
23:39:54.796151,0.97,-0.0,-0.02,-0.24,-0.11,0.51,0.91
23:39:54.799151,0.97,-0.01,-0.02,-0.24,-0.1,0.46,0.92
23:39:54.813151,0.97,-0.01,-0.02,-0.23,-0.09,0.4,0.93
23:39:54.815664,0.97,-0.01,-0.02,-0.23,-0.09,0.34,0.96
23:39:54.829663,0.98,-0.01,-0.01,-0.22,-0.1,0.29,0.98
23:39:54.845663,0.98,-0.01,-0.01,-0.22,-0.11,0.24,0.99
23:39:54.848663,0.98,-0.01,-0.01,-0.21,-0.11,0.19,0.99
23:39:54.862663,0.98,-0.01,-0.02,-0.21,-0.11,0.15,0.99
23:39:54.865663,0.98,-0.01,-0.02,-0.2,-0.1,0.11,0.99
23:39:54.879663,0.98,-0.01,-0.01,-0.2,-0.09,0.08,1.03
23:39:54.895663,0.98,-0.01,-0.01,-0.19,-0.08,0.06,1.08
