t,w,x,y,z,ax,ay,az
8,1,-0.01,0,-0.03,0.05,-0.13,1
7,1,-0.02,0,-0.03,0.06,-0.14,1
7,1,-0.02,0,-0.03,0.05,-0.15,1
7,1,-0.02,0,-0.03,0.04,-0.14,1
9,1,-0.02,0,-0.04,0.03,-0.13,1
7,1,-0.02,0,-0.04,0.01,-0.11,1
7,1,-0.02,0,-0.04,-0.01,-0.1,1
7,1,-0.02,0,-0.04,-0.02,-0.09,1
8,1,-0.02,0,-0.04,-0.02,-0.08,1
8,1,-0.02,0,-0.04,-0.01,-0.07,0.99
7,1,-0.02,0,-0.04,0.01,-0.06,1
7,1,-0.02,0,-0.04,0.02,-0.07,1
8,1,-0.02,0,-0.03,0.02,-0.07,1
8,1,-0.02,0,-0.03,0.02,-0.06,1
7,1,-0.02,0,-0.03,0.02,-0.05,0.99
7,1,-0.02,0,-0.03,0.02,-0.03,0.99
7,1,-0.02,0,-0.03,0.02,-0.01,0.99
9,1,-0.02,0,-0.03,0.02,-0.01,1
7,1,-0.02,0,-0.03,0.02,0,1
7,1,-0.02,0,-0.03,0.02,0.01,1
7,1,-0.02,0,-0.03,0.02,0.01,1
8,1,-0.02,0,-0.03,0.02,0,0.99
7,1,-0.02,0,-0.03,0.02,0,1
7,1,-0.02,0,-0.03,0.03,0,1
7,1,-0.02,0,-0.03,0.03,0.02,1
8,1,-0.02,0,-0.04,0.04,0.02,1
8,1,-0.02,0,-0.04,0.04,0.03,0.99
7,1,-0.01,0,-0.04,0.02,0.04,1
7,1,-0.01,0,-0.04,-0.01,0.05,1.01
7,1,-0.01,0,-0.04,-0.07,0.06,1
9,1,-0.01,0,-0.04,-0.11,0.08,1
7,1,-0.01,0,-0.04,-0.12,0.08,0.99
7,1,-0.01,0,-0.04,-0.11,0.08,1.01
7,1,-0.01,0,-0.04,-0.1,0.05,0.99
9,1,-0.01,0,-0.03,-0.08,0.04,0.99
7,1,-0.01,0,-0.03,-0.04,0.04,0.99
7,1,-0.01,0,-0.03,-0.01,0.06,1.01
7,1,-0.01,0,-0.03,0.03,0.08,1
8,1,-0.01,0,-0.03,0.05,0.09,1
7,1,-0.01,0,-0.03,0.06,0.09,0.99
7,1,-0.01,-0,-0.03,0.08,0.1,1.01
7,1,-0.01,-0,-0.03,0.08,0.1,1
7,1,-0.01,-0,-0.03,0.07,0.09,1
9,1,-0.01,-0,-0.03,0.04,0.08,1
7,1,-0.01,-0,-0.04,0.01,0.08,1
7,1,-0.01,-0,-0.04,-0.02,0.09,1.01
7,1,-0.01,0,-0.04,-0.04,0.1,1.03
9,1,-0.01,0.01,-0.04,-0.06,0.1,1.02
7,1,-0.01,0.01,-0.04,-0.07,0.1,1.01
7,1,-0.01,0.01,-0.04,-0.07,0.09,1
7,1,-0.01,0.01,-0.04,-0.06,0.08,0.99
9,1,-0.01,0.01,-0.04,-0.04,0.07,0.97
7,1,-0.01,0.01,-0.03,-0.01,0.05,0.96
7,1,-0.01,0.01,-0.03,0.01,0.03,0.96
7,1,-0.01,0.01,-0.03,0.03,0.02,0.96
7,1,-0.01,0.01,-0.02,0.05,0.03,0.97
8,1,-0.01,0.01,-0.02,0.06,0.04,1
7,1,-0.01,0,-0.02,0.07,0.06,1.01
7,1,-0.01,0,-0.01,0.08,0.08,1.01
7,1,-0,0,-0.01,0.07,0.1,1.03
9,1,-0,0,-0.01,0.07,0.09,1.03
7,1,-0.01,0,-0.01,0.06,0.09,1.01
7,1,-0.01,0,-0.01,0.04,0.08,1.01
7,1,-0.01,0,-0.01,0.03,0.07,0.99
9,1,-0,0,-0.01,0.01,0.06,0.98
7,1,-0,0,-0.01,-0.01,0.05,0.98
7,1,-0,0,-0.01,-0.01,0.06,0.99
7,1,-0,0,-0.01,0,0.08,0.99
9,1,-0,0,-0.01,0.01,0.08,1
8,1,-0,0,-0.01,0.02,0.07,1
7,1,-0,0,-0.01,0.01,0.06,1
7,1,-0,0,-0.01,0,0.05,1
7,1,0,0,-0.01,-0.02,0.06,1.01
9,1,0,0,-0.01,-0.04,0.06,1.01
7,1,0,0,-0.01,-0.06,0.05,1
7,1,0,0,-0.01,-0.06,0.04,1
7,1,0,0,-0.01,-0.05,0.03,1
9,1,0,0,-0.01,-0.03,0.03,1
7,1,0,0,-0,-0.01,0.03,1
7,1,0,0,-0,0.01,0.02,1
7,1,0,0,-0,0.02,0.01,1
9,1,0,0,-0,0.02,0.01,1
8,1,0,0,-0,0.01,0.01,1.01
7,1,0,0,-0,0,0.01,1.01
7,1,0,0,-0,-0.01,0.03,1
7,1,0,0,-0,-0.02,0.04,1
8,1,0,0,-0,-0.03,0.05,1
7,1,0,0.01,-0,-0.04,0.05,1
7,1,0,0.01,-0,-0.04,0.05,1
7,1,0,0.01,-0,-0.04,0.05,0.99
9,1,0,0.01,-0,-0.02,0.05,0.99
7,1,0,0.01,-0,-0.01,0.06,0.99
7,1,0,0,-0,-0,0.06,0.98
7,1,0,0,-0,-0,0.05,0.98
9,1,0,0,-0,-0.01,0.05,0.99
8,1,0,0,-0,-0,0.06,1
7,1,0.01,-0,-0,0.01,0.05,1
7,1,0.01,-0,-0,0.01,0.05,1.01
8,1,0.01,-0,-0,0.02,0.05,1.01
8,1,0.01,-0,-0,0.02,0.05,1.01
7,1,0.01,-0,-0,0.03,0.07,1.01
7,1,0.01,-0,-0,0.03,0.07,1
7,1,0.01,-0,-0,0.02,0.06,1
